dimention,mpageid,Y-Image Dimentions,X-Image Dimentions
"(200, 81)",M38126487.jpg,81,200
"(200, 133)",M38212977.JPG,133,200
"(199, 132)",M38628129.jpg,132,199
"(200, 134)",M3872873.jpg,134,200
"(200, 133)",M39217058.jpg,133,200
"(200, 113)",M39235750.jpg,113,200
"(200, 301)",M39409389.jpg,301,200
"(200, 140)",M39532788.jpg,140,200
"(200, 150)",M40015849.jpg,150,200
"(200, 209)",M40169573.jpg,209,200
"(200, 300)",M40379607.jpg,300,200
"(200, 113)",M40628156.jpg,113,200
"(200, 200)",M40634538.jpg,200,200
"(200, 106)",M4105892.jpg,106,200
"(200, 264)",M41095524.jpg,264,200
"(200, 126)",M41105668.jpg,126,200
"(200, 134)",M41579303.jpg,134,200
"(200, 132)",M41607603.JPG,132,200
"(200, 133)",M42053898.jpg,133,200
"(200, 125)",M42131175.jpg,125,200
"(200, 133)",M42544577.jpg,133,200
"(200, 104)",M42770681.JPG,104,200
"(200, 307)",M42829688.jpg,307,200
"(200, 133)",M42935844.jpg,133,200
"(200, 143)",M43290467.jpg,143,200
"(200, 135)",M4332968.jpg,135,200
"(200, 150)",M43447057.jpg,150,200
"(200, 133)",M43468863.jpg,133,200
"(200, 133)",M4366898.jpg,133,200
"(200, 346)",M43685557.jpg,346,200
"(200, 116)",M44039081.jpg,116,200
"(200, 133)",M44051856.jpg,133,200
"(200, 133)",M44116185.JPG,133,200
"(200, 238)",M44122336.jpg,238,200
"(200, 206)",M44123667.jpg,206,200
"(200, 194)",M44123669.JPG,194,200
"(200, 170)",M44180967.JPG,170,200
"(200, 133)",M4440785.jpg,133,200
"(200, 167)",M44704958.jpg,167,200
"(199, 133)",M45246844.jpg,133,199
"(200, 141)",M45267619.jpg,141,200
"(200, 133)",M45581404.jpg,133,200
"(200, 145)",M4565837.jpg,145,200
"(199, 133)",M45712482.jpg,133,199
"(200, 132)",M46273772.jpg,132,200
"(200, 314)",M47365952.JPG,314,200
"(200, 307)",M47499525.jpg,307,200
"(200, 303)",M47500681.jpg,303,200
"(200, 103)",M47641444.JPG,103,200
"(200, 133)",M48249455.jpg,133,200
"(200, 211)",M49179423.jpg,211,200
"(200, 153)",M49722530.jpg,153,200
"(200, 113)",M49729391.jpg,113,200
"(200, 133)",M49759646.jpg,133,200
"(200, 125)",M49804072.jpg,125,200
"(200, 133)",M501520.JPG,133,200
"(200, 133)",M50208570.jpg,133,200
"(200, 126)",M50283159.jpg,126,200
"(200, 143)",M50970683.jpg,143,200
"(200, 133)",M51186301.jpg,133,200
"(200, 133)",M51304805.jpg,133,200
"(200, 133)",M51333340.jpg,133,200
"(200, 150)",M51445254.jpg,150,200
"(200, 133)",M51462670.jpg,133,200
"(200, 157)",M51505686.jpg,157,200
"(200, 185)",M51769571.jpg,185,200
"(200, 125)",M52148464.jpg,125,200
"(200, 48)",M52215165.jpg,48,200
"(200, 212)",M52461688.JPG,212,200
"(200, 133)",M52511524.jpg,133,200
"(200, 133)",M52635344.jpg,133,200
"(200, 175)",M52691244.jpg,175,200
"(200, 377)",M52694241.jpg,377,200
"(200, 405)",M52798327.jpg,405,200
"(198, 68)",M52818721.jpg,68,198
"(200, 299)",M52828268.jpg,299,200
"(200, 144)",M53288260.jpg,144,200
"(199, 104)",M54851375.jpg,104,199
"(200, 289)",M54881834.jpg,289,200
"(200, 148)",M55029644.jpg,148,200
"(200, 131)",M55047562.jpg,131,200
"(199, 113)",M55049648.jpg,113,199
"(200, 133)",M55053689.jpg,133,200
"(200, 126)",M55333735.jpg,126,200
"(200, 134)",M5540593.jpg,134,200
"(200, 133)",M56693660.jpg,133,200
"(200, 133)",M56855696.jpg,133,200
"(200, 133)",M58219114.jpg,133,200
"(200, 300)",M58219133.jpg,300,200
"(200, 300)",M58219135.jpg,300,200
"(200, 300)",M58227507.jpg,300,200
"(200, 300)",M58227522.jpg,300,200
"(200, 250)",M59064485.jpg,250,200
"(200, 142)",M59064518.jpg,142,200
"(200, 133)",M59132720.jpg,133,200
"(200, 133)",M59132805.jpg,133,200
"(200, 300)",M59197080.jpg,300,200
"(200, 200)",M59919021.jpg,200,200
"(200, 300)",M60275947.jpg,300,200
"(200, 300)",M60275956.jpg,300,200
"(200, 400)",M60275973.jpg,400,200
"(200, 300)",M60276025.jpg,300,200
"(200, 300)",M60276107.jpg,300,200
"(200, 169)",M60355579.jpg,169,200
"(200, 200)",M60975657.jpg,200,200
"(200, 204)",M61457535.jpg,204,200
"(200, 145)",M61514687.jpg,145,200
"(200, 133)",M61619827.jpg,133,200
"(200, 150)",M62040584.jpg,150,200
"(200, 356)",M62082860.jpg,356,200
"(200, 267)",M62082909.jpg,267,200
"(199, 133)",M62443281.jpg,133,199
"(200, 150)",M62449588.jpg,150,200
"(200, 267)",M62695681.jpg,267,200
"(200, 214)",M62729993.jpg,214,200
"(200, 150)",M62771713.JPG,150,200
"(200, 133)",M63225202.jpg,133,200
"(199, 133)",M63225223.jpg,133,199
"(200, 133)",M63225316.jpg,133,200
"(200, 133)",M63229610.jpg,133,200
"(199, 133)",M63244213.jpg,133,199
"(200, 133)",M63266759.jpg,133,200
"(200, 267)",M63345221.jpg,267,200
"(200, 133)",M63349476.jpg,133,200
"(200, 133)",M63563015.jpg,133,200
"(200, 133)",M63740170.jpg,133,200
"(200, 133)",M6383771.jpg,133,200
"(200, 267)",M63870451.jpg,267,200
"(200, 133)",M63938553.jpg,133,200
"(200, 133)",M63980768.jpg,133,200
"(200, 115)",M64005663.jpg,115,200
"(200, 150)",M64010002.jpg,150,200
"(200, 133)",M64148013.jpg,133,200
"(200, 133)",M64280613.jpg,133,200
"(200, 130)",M64320068.jpg,130,200
"(200, 140)",M64331557.jpg,140,200
"(200, 356)",M64363396.jpg,356,200
"(200, 356)",M64363399.jpg,356,200
"(200, 130)",M644089.jpg,130,200
"(200, 133)",M64703060.jpg,133,200
"(200, 161)",M64728255.jpg,161,200
"(200, 300)",M64817050.jpg,300,200
"(200, 124)",M65086793.jpg,124,200
"(200, 133)",M65115451.jpg,133,200
"(199, 133)",M65938955.jpg,133,199
"(200, 133)",M66084694.jpg,133,200
"(200, 133)",M66239726.jpg,133,200
"(200, 225)",M66768056.jpg,225,200
"(199, 112)",M66870395.jpg,112,199
"(199, 132)",M66880046.jpg,132,199
"(200, 133)",M68325580.jpg,133,200
"(200, 301)",M68360019.jpg,301,200
"(200, 133)",M68549884.jpg,133,200
"(200, 240)",M68608952.jpg,240,200
"(200, 133)",M68767776.jpg,133,200
"(200, 138)",M68927700.jpg,138,200
"(199, 112)",M68960758.jpg,112,199
"(200, 96)",M6907832.jpg,96,200
"(200, 133)",M6936317.jpg,133,200
"(200, 133)",M69416753.jpg,133,200
"(200, 268)",M6943031.jpg,268,200
"(200, 133)",M69729545.jpg,133,200
"(200, 133)",M69811691.jpg,133,200
"(200, 300)",M70039125.jpg,300,200
