object name,mpageid,has on the left,has on the right,has on the top,has on the bottom,has in the center
person,http://commons.wikimedia.org/wiki/Special:EntityData/M1049165,,,,http://www.wikidata.org/entity/Q5,
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10498829,,,,,http://www.wikidata.org/entity/Q870
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10498829,,http://www.wikidata.org/entity/Q870,,,
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10510527,,,,,http://www.wikidata.org/entity/Q870
bicycle,http://commons.wikimedia.org/wiki/Special:EntityData/M10515332,,,,,http://www.wikidata.org/entity/Q11442
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10515332,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10515332,,http://www.wikidata.org/entity/Q5,http://www.wikidata.org/entity/Q5,,
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10530273,http://www.wikidata.org/entity/Q870,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10539091,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10539091,http://www.wikidata.org/entity/Q5,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10539091,http://www.wikidata.org/entity/Q5,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10539091,,http://www.wikidata.org/entity/Q5,,,
motorcycle,http://commons.wikimedia.org/wiki/Special:EntityData/M10539091,,,,,http://www.wikidata.org/entity/Q34493
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10542662,,http://www.wikidata.org/entity/Q5,,,
boat,http://commons.wikimedia.org/wiki/Special:EntityData/M10542974,,,,,http://www.wikidata.org/entity/Q35872
refrigerator,http://commons.wikimedia.org/wiki/Special:EntityData/M10569128,,,,,http://www.wikidata.org/entity/Q37828
remote,http://commons.wikimedia.org/wiki/Special:EntityData/M10569128,,,,,http://www.wikidata.org/entity/Q185091
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10571629,,,,,http://www.wikidata.org/entity/Q5113
truck,http://commons.wikimedia.org/wiki/Special:EntityData/M10577838,,,,,http://www.wikidata.org/entity/Q43193
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M105883,,,,,http://www.wikidata.org/entity/Q146
boat,http://commons.wikimedia.org/wiki/Special:EntityData/M10595265,,http://www.wikidata.org/entity/Q35872,,http://www.wikidata.org/entity/Q35872,
boat,http://commons.wikimedia.org/wiki/Special:EntityData/M10595284,,http://www.wikidata.org/entity/Q35872,,,
boat,http://commons.wikimedia.org/wiki/Special:EntityData/M10595284,http://www.wikidata.org/entity/Q35872,,,http://www.wikidata.org/entity/Q35872,
frisbee,http://commons.wikimedia.org/wiki/Special:EntityData/M10596409,,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613077,,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613077,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613077,http://www.wikidata.org/entity/Q5,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613077,,,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613077,http://www.wikidata.org/entity/Q5,,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613077,http://www.wikidata.org/entity/Q5,,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613077,http://www.wikidata.org/entity/Q5,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613077,,,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613082,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613082,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613082,,http://www.wikidata.org/entity/Q5,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613082,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613082,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613082,http://www.wikidata.org/entity/Q5,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613082,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613082,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,,
